File name,Question,Answer,Distractor 1,Distractor 2,Distractor 3,Author
1,What time is it in the beginning?,6:40 AM,7:00 AM,7:10 AM,8:10 AM,Aura
1,Where are they?,bed,floor,bench,park,Aura
1,Who is pointing to the watch?,man,boy,old lady,dog,Aura
1,Where is the adult?,table,park,pool,car,Aura
1,What time is it in when he knocks?,6:51 AM,6:40 AM,7:00 AM,7:30 AM,Aura
1,What time does the first boy actually get up?,6:51 AM,6:53 AM,7:00 AM,5:00 PM,Penghao
1,When are the children supposed to get up?,6:40 AM,7:00 AM,10:00 PM,9:10 AM,Penghao
1,How many children are there in the family?,2,3,1,4,Penghao
1,Who is the first to have breakfast?,father,mother,boy,girl,Penghao
1,What is the father's reaction to the late of his children?,upset,happy,desperate,indifferent,Penghao
2,What time is it?,7:00 AM,7:10 AM,8:10 AM,7:30 AM,Aura
2,What does she do in the beginning?,eat and write,raise hands,sing,recite,Aura
2,Where are they?,table,gym,park,pool,Aura
2,Who is chasing after the car?,boy,old lady,dog,cat,Aura
2,What does the boy drop?,folder,cookies,toys,pens,Aura
2,What is the girl doing when having breakfast?,writing,laughing,cooking,sleeping,Penghao
2,What is the girl doing when reading newspaper?,she felt sleepy,watching TV,writing,cooking,Penghao
2,What is the girl's reaction when the boy makes fun of her?,she fights with him,she smiles at him,she shouts at him,she cries,Penghao
2,What is the name of the newspaper?,This Week In Washington,The Daily Life,New York Times,This Week in Singleton,Penghao
2,Who is running after the car at the end of the video?,boy,girl,father,mother,Penghao
3,Where are they?,bed,floor,bench,park,Aura
3,What are they eating?,cookies,pancakes and bacon,pancakes,popcorn,Aura
3,Where are the phones?,hand,table,floor,bench,Aura
3,How many phones are?,2,4,0,3,Aura
3,What color is the head of the bed?,white,pink,green,red,Aura
3,How many girls are there in the video?,2,3,4,1,Penghao
3,How many doors are there in the video?,2,3,4,1,Penghao
3,What is the color of the door?,white,yellow,black,brown,Penghao
3,What are the feelings of the girls?,happy,unhappy,upset,angry,Penghao
4,What color is the blanket?,gray,yellow,green,red,Aura
4,What pets do they have?,dogs,mice,cats,birds,Aura
4,How many dogs are?,2,3,4,0,Aura
4,Where does she go?,kitchen,classroom,pool,gym,Aura
4,What does she take from the box?,meat,cake,cookies,toys,Aura
4,What is the color of the girl's top?,black,white,yellow,blue,Penghao
4,What did the girl say when she touched the pork?,What the hell,Oh my gosh,I'm lovin' it,What the sun,Penghao
4,How many pork steaks are cooked?,2,3,4,1,Penghao
4,What is the number at the back of the girl's pullover?,17,19,20,2,Penghao
5,What does she do first?,pouring syrup,wash hands,wipe hands,watch TV,Aura
5,What is on the plate?,pancakes and bacon,pancakes and popcorn,cake,cookies,Aura
5,How many plates are?,2,1,3,4,Aura
5,What does she do right after pouring syrup?,eat,run,sleep,wipe hands,Aura
5,What is the last question?,Did you have a nice time?,Did you have breakfast?,Did you have lunch?,Did you have a friend?,Aura
5,What did the girls do after breakfast?,They took their clothes out of the washing machine,They went to bed,They went out,They played with dogs,Penghao
5,What was the girl with blonde hair holding when she brushed her teeth?,camera,iPhone,mirror,banana,Penghao
5,What was the color of the girl's top when she went out?,blue,black,yellow,white,Penghao
5,How many dishes are there in the table?,2,3,4,1,Penghao
5,Which sauce did they put on their breakfast?,honey,chocolate sauce,blueberry,ketchup,Penghao
6,What will she teach?,greeting,game,song,play,Aura
6,What time of day is it?,morning,night,noon,afternoon,Aura
6,How is the greeting called?,1 minute greeting,bye-bye greeting,2 minutes greeting,5 minutes greeting,Aura
6,What do they do after greeting?,go back,read,run around,sing,Aura
6,What color is the teacher's sweater?,pink,green,red,silver,Aura
